CP,T_ASENT,CVE_MPO,ZONA,CVE_ENT,CVE_LOC,CVE_AGEB,MZA,LAT,LONG,ENT_FED,NMB_LOC
20000,Colonia,1,Urbano,1,56.0,0100,2.0,21.83725484,-102.71093072,AGUASCALIENTES,Arroyo Ojocalientillo
20000,Colonia,1,Urbano,1,139.0,1180,24.0,21.73692762,-102.45413474,AGUASCALIENTES,Cieneguilla (La Lumbrera)
20000,Colonia,1,Urbano,1,907.0,1941,800.0,21.79277778,-102.07555556,AGUASCALIENTES,El Catorce
20000,Colonia,1,Urbano,1,7215.0,1250,800.0,21.68635965,-102.2372364,AGUASCALIENTES,Localidad Económica
20000,Colonia,1,Urbano,1,1.0,0638,4.0,21.88246863,-102.2912838,AGUASCALIENTES,Aguascalientes
20000,Colonia,1,Urbano,1,1.0,0708,29.0,21.8802132,-102.29592099,AGUASCALIENTES,Aguascalientes
20000,Colonia,1,Urbano,1,1.0,0619,10.0,21.88239023,-102.30448774,AGUASCALIENTES,Aguascalientes
20000,Colonia,1,Urbano,1,1.0,2013,15.0,21.89394808,-102.32469292,AGUASCALIENTES,Aguascalientes
20000,Colonia,1,Urbano,1,1.0,0515,22.0,21.88626898,-102.29690026,AGUASCALIENTES,Aguascalientes
20000,Colonia,1,Urbano,1,1.0,0623,3.0,21.88204551,-102.29931909,AGUASCALIENTES,Aguascalientes
20000,Colonia,1,Urbano,1,1.0,0712,2.0,21.88096445,-102.28624195,AGUASCALIENTES,Aguascalientes
20000,Colonia,1,Urbano,1,1.0,0500,12.0,21.88740248,-102.29952294,AGUASCALIENTES,Aguascalientes
20000,Colonia,1,Urbano,1,1.0,0549,21.0,21.88826294,-102.28925025,AGUASCALIENTES,Aguascalientes
20000,Colonia,1,Urbano,1,1.0,052A,20.0,21.89081705,-102.28944044,AGUASCALIENTES,Aguascalientes
20000,Colonia,1,Urbano,1,1.0,0572,18.0,21.885086899999997,-102.29868352,AGUASCALIENTES,Aguascalientes
20000,Colonia,1,Urbano,1,1.0,0799,52.0,21.87518665,-102.29102225,AGUASCALIENTES,Aguascalientes
20000,Colonia,1,Urbano,1,1.0,0657,27.0,21.88851209,-102.28269237,AGUASCALIENTES,Aguascalientes
20000,Colonia,1,Urbano,1,1.0,0642,10.0,21.88331595,-102.28818818,AGUASCALIENTES,Aguascalientes
20000,Colonia,1,Urbano,1,1.0,0695,14.0,21.87959651,-102.29795142,AGUASCALIENTES,Aguascalientes
